strain	date	country	state	division	host	lineage	authors	journal	title	url	latitude	longitude
KJ501337	2002-09-13	USA	AL	AL	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501338	2002-09-09	USA	AL	AL	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501339	2002-09-13	USA	AL	AL	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501340	2003-09-01	USA	AL	AL	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501344	2002-07-30	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501345	2002-09-12	USA	MO	MO	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501347	2002-09-27	USA	NM	NM	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501351	2003-07-28	USA	OK	OK	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501352	2003-08-14	USA	OK	OK	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501353	2003-08-08	USA	OK	OK	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501355	2002-07-03	USA	TX	TX	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501356	2003-07-16	USA	TX	TX	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501357	2003-08-04	USA	TX	TX	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501358	2003-08-19	USA	TX	TX	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501359	2003-09-16	USA	NJ	NJ	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501360	2003-09-05	USA	NC	NC	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501364	2002-08-26	USA	PA	PA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501365	2003-09-11	USA	PA	PA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501366	2003-09-22	USA	PA	PA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501368	2002-08-06	USA	TN	TN	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501369	2002-08-08	USA	TN	TN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501370	2002-07-31	USA	AR	AR	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501371	2002-08-02	USA	AR	AR	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501373	2002-08-20	USA	GA	GA	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501375	2002-08-08	USA	NJ	NJ	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501380	2002-09-05	USA	WI	WI	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501383	2002-08-13	USA	MS	MS	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501384	2002-08-13	USA	MS	MS	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501387	2002-08-30	USA	NE	NE	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501388	2002-08-30	USA	NE	NE	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501389	2003-08-06	USA	SD	SD	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501390	2003-08-06	USA	SD	SD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501391	2003-08-06	USA	SD	SD	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501392	2003-07-19	USA	SD	SD	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501393	2001-09-14	USA	VA	VA	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501394	2001-09-13	USA	VA	VA	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501396	2003-08-28	USA	VA	VA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501398	2004-09-30	USA	CA	CA	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501399	2002-07-31	USA	DC	DC/District_of_Columbia	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501400	2002-08-14	USA	DC	DC/District_of_Columbia	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501401	2001-10-02	USA	IL	IL	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501402	2004-10-15	USA	MN	MN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501403	2005-08-09	USA	MN	MN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501404	2005-07-28	USA	MN	MN	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501405	2006-07-19	USA	MN	MN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501406	2006-07-27	USA	MN	MN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501407	2006-07-27	USA	MN	MN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501408	2006-07-27	USA	MN	MN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501409	2006-07-28	USA	MN	MN	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501410	2006-08-17	USA	MN	MN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501411	2008-08-12	USA	NE	NE	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
