DQ164196,8/1/02,USA,GA,Wilkinson,Human,WN02,
DQ164197,8/1/02,USA,GA,Wilkinson,Human,WN02,
DQ164198,8/1/02,USA,TX,Concho,Human,WN02,
DQ164199,8/1/03,USA,TX,Concho,Human,WN02,
DQ164200,8/1/02,USA,IN,Hendricks,Human,WN02,
DQ164201,8/1/04,USA,AZ,Yavapai,Human,SW03,
DQ164202,8/1/02,USA,OH,Licking,Human,NY99,
DQ164203,8/1/03,USA,CO,Park,Bird-crow,SW03,
DQ164204,8/1/03,USA,CO,Park,Bird-other,WN02,
DQ164205,8/1/02,USA,TX,Concho,Human,WN02,
DQ164206,8/1/04,USA,TX,Harris,Bird-other,WN02,
DQ176637,8/1/02,USA,TX,Hall,Bird-other,WN02,
DQ431693,8/1/03,USA,TX,Potter,Human,WN02,
DQ431694,8/1/03,USA,TX,Potter,Human,WN02,
DQ431695,8/1/03,USA,IL,Cook,Human,WN02,
DQ431696,8/1/03,USA,WI,Milwaukee,Human,WN02,
DQ431697,8/1/03,USA,FL,Hillsborough,Human,NY99,
DQ431698,8/1/03,USA,FL,Hillsborough,Human,WN02,
DQ431699,8/1/03,USA,FL,Hillsborough,Human,WN02,
DQ431700,8/1/04,USA,CA,San_Fransisco,Human,WN02,
DQ431701,8/1/04,USA,CO,Mesa,Human,WN02,
DQ431702,8/1/04,USA,CO,Mesa,Human,SW03,
DQ431703,8/1/04,USA,CO,Mesa,Human,WN02,
DQ431704,8/1/04,USA,CO,Mesa,Human,SW03,
DQ431705,8/1/04,USA,ND,Burleigh,Human,WN02,
DQ431706,8/1/04,USA,NM,Bernalillo,Human,SW03,
DQ431707,8/1/04,USA,NM,Bernalillo,Human,SW03,
DQ431708,7/16/04,USA,CA,San_Diego,Human,WN02,
DQ431709,7/16/04,USA,CA,Los_Angeles,Human,WN02,
DQ431710,7/31/04,USA,CA,Los_Angeles,Human,WN02,
DQ431711,8/1/04,USA,AZ,Maricopa,Human,SW03,
DQ431712,8/1/04,USA,AZ,Maricopa,Human,SW03,
DQ666448,8/1/04,USA,AZ,Yavapai,Human,SW03,
DQ666449,8/1/05,USA,TX,Concho,Human,SW03,
DQ666450,8/1/05,USA,TX,Concho,Human,WN02,
DQ666451,8/1/05,USA,AZ,Yavapai,Human,SW03,
DQ666452,8/1/05,USA,SD,Stanley,Human,SW03,
DQ983578,8/1/03,USA,FL,Indian_River,Mosquito-Culex,NY99,
FJ151394,8/1/99,USA,NY,New_York,Bird-crow,NY99,
GQ507468,8/3/05,USA,TX,El_Paso,Human,SW03,
GQ507469,9/1/05,USA,NM,Dona_Ana,Human,SW03,
GQ507470,8/30/06,USA,TX,El_Paso,Human,SW03,
GQ507471,6/23/07,USA,TX,El_Paso,Human,SW03,
GQ507472,7/14/03,USA,CA,Orange,Human,WN02,
GQ507473,7/24/04,USA,CA,Los_Angeles,Human,WN02,
GQ507474,8/27/04,USA,CA,San_Bernardino,Human,WN02,
GQ507475,6/27/05,USA,CA,San_Bernardino,Human,WN02,
GQ507476,7/27/05,USA,CA,San_Bernardino,Human,WN02,
